"","null_perEstimate","null_perEst.Error","null_perl.95..CI","null_peru.95..CI","null_perEff.Sample","null_perRhat","term","null_per_vidEstimate","null_per_vidEst.Error","null_per_vidl.95..CI","null_per_vidu.95..CI","null_per_vidEff.Sample","null_per_vidRhat","me_perEstimate","me_perEst.Error","me_perl.95..CI","me_peru.95..CI","me_perEff.Sample","me_perRhat","me_per_vidEstimate","me_per_vidEst.Error","me_per_vidl.95..CI","me_per_vidu.95..CI","me_per_vidEff.Sample","me_per_vidRhat","int_perEstimate","int_perEst.Error","int_perl.95..CI","int_peru.95..CI","int_perEff.Sample","int_perRhat","int_per_vidEstimate","int_per_vidEst.Error","int_per_vidl.95..CI","int_per_vidu.95..CI","int_per_vidEff.Sample","int_per_vidRhat"
"op_need_car",NA,NA,NA,NA,NA,NA,"op_need_car",NA,NA,NA,NA,NA,NA,-0.284438361192824,0.151919655849214,-0.565867937896619,0.0223793127027955,512.572886815911,1.00179078429761,-0.299490742558288,0.155271974204709,-0.61289253832145,0.00422411720741193,743.762229334322,1.00225804276479,-0.233242957376065,0.123143719584238,-0.466707533506657,0.00330125120058163,938.573500111749,1.00082093709097,-0.2352406260364,0.120055714172675,-0.46875013669499,0.00293226729646783,1455.41038951464,1.00094233319288
"op_feel_safe",NA,NA,NA,NA,NA,NA,"op_feel_safe",NA,NA,NA,NA,NA,NA,0.997768651505889,0.176723800816372,0.65452683802619,1.3426035282044,778.076616199772,1.00186684166381,1.0398161725967,0.181442557450979,0.689600209468018,1.40350300379873,614.220881780396,1.0045839601991,0.824766930149063,0.143843892794892,0.539914094270347,1.10350388627898,977.571803982451,1.00032775076414,0.825617138146238,0.149081384142283,0.539534109510145,1.12491619503394,1102.5551106456,0.999957029622231
"op_like_transit",NA,NA,NA,NA,NA,NA,"op_like_transit",NA,NA,NA,NA,NA,NA,0.441480783742282,0.153590597439323,0.142287955074427,0.731642362349154,685.790089794061,1.00149180300908,0.458501953153192,0.157998409084418,0.15209938645921,0.766199016015452,560.114777862808,1.00414485195373,0.341859263138502,0.127752488889102,0.0872726603718734,0.584383702498097,975.432198438396,0.999755469225619,0.363947927025516,0.128286448147851,0.110865082664597,0.616752194162564,1393.12830963764,0.999279594833051
"op_arrive_professional",NA,NA,NA,NA,NA,NA,"op_arrive_professional",NA,NA,NA,NA,NA,NA,-0.225284532318502,0.138925175521932,-0.497380559418471,0.0539602934201283,741.118069657479,1.00537194969844,-0.23362903866946,0.147932340999933,-0.515577823355554,0.0590678234349779,599.021232625098,1.00478245080453,-0.188424789263976,0.116740153616277,-0.42348067966157,0.0439084421775798,902.503030476433,1.00100417333789,-0.185328466060952,0.118607395239219,-0.414332230633155,0.0539947390971476,1304.22399306937,1.00082708094975
"op_travel_stress",NA,NA,NA,NA,NA,NA,"op_travel_stress",NA,NA,NA,NA,NA,NA,-0.578555790848828,0.163536215899481,-0.905294545001785,-0.260907187510413,736.567297917039,1.0030835231164,-0.615894446925404,0.172906629360178,-0.960217635328054,-0.273643939418363,534.121572699974,1.00320636647747,-0.469750821956767,0.134833011807815,-0.740690154914663,-0.210311332686434,945.013558340844,1.0011350353871,-0.481068902348671,0.128111681751043,-0.734405270386382,-0.229174666890794,1461.51838746283,0.999961575957893
"bike_ability",NA,NA,NA,NA,NA,NA,"bike_ability",NA,NA,NA,NA,NA,NA,0.784862795656341,0.124269361879567,0.541399306602673,1.03116612102698,595.29466122592,1.00372443264271,0.827043970026881,0.124269009277318,0.586936178297866,1.06989175778799,616.976990581754,1.00409307657635,0.806670394654658,0.124004690148375,0.573176934455659,1.05800807259409,933.642202347465,1.00080299579319,0.820613864937712,0.127955391506611,0.568576261664332,1.08605894283182,1139.55229250574,1.00270036631832
"comfort_four_no_lane2",NA,NA,NA,NA,NA,NA,"comfort_four_no_lane2",NA,NA,NA,NA,NA,NA,0.957053930137489,0.0913388220937927,0.775340248376382,1.133042243218,364.280071946108,1.00120161430741,0.99881507159109,0.0898283665104507,0.822455874875363,1.17130330611454,591.119963917356,1.00483984906549,0.970322619654908,0.0876650068418786,0.79911548937403,1.14716145657922,831.442214850125,1.00318677307748,0.998966237900641,0.0899172705460052,0.823483998146212,1.17206018279845,1189.80852230879,0.999446534304589
"comfort_four_no_lane3",NA,NA,NA,NA,NA,NA,"comfort_four_no_lane3",NA,NA,NA,NA,NA,NA,2.31772410816584,0.105727237998349,2.12263114079095,2.53040029099123,386.182947695166,1.00810315075159,2.43365343775779,0.113466202928913,2.21209913599632,2.65130703877499,506.667192590738,1.00721933828783,2.38548269511575,0.10835182891052,2.16619153269215,2.59760270836314,865.613859077976,0.999504392068212,2.43784808977865,0.114670354961238,2.20954473026603,2.67267684863704,1306.29719396293,0.999896528786337
"street_parking_ST1",NA,NA,NA,NA,NA,NA,"street_parking_ST1",NA,NA,NA,NA,NA,NA,0.396406989497096,0.0737638087561207,0.2451566652218,0.542543550340209,1737.29086159222,1.00099980097499,0.392085535222684,0.626007347953591,-0.827180193221839,1.62370651711245,1059.54095992245,1.00210853986389,0.988143500024027,0.154762329125141,0.69570625123986,1.29570529586343,1334.1167523541,1.00173369119822,0.796090860667207,1.21605783029841,-1.70641215754426,3.14174040255544,2060.4923416369,1.00113269309741
"outside_lane_width_ft_ST",NA,NA,NA,NA,NA,NA,"outside_lane_width_ft_ST",NA,NA,NA,NA,NA,NA,-1.14117547871452,0.132171836691781,-1.40034568903034,-0.886639537232846,2238.53395100726,0.999571674613229,-1.15213129262716,1.22390447495096,-3.39534461576579,1.21887096670654,886.742128029411,1.00252986800594,-3.1766599910762,0.202338496965569,-3.58075707648111,-2.77496095175277,1399.81071975729,0.999491235794781,-2.34205539831665,1.71029639394399,-5.5199343322983,1.26982796772016,1587.20520463848,1.0004424221934
